Risque;Causes;Libellé Plan d'action;Porteur;Email du porteur;Date de début;Date de fin;Avancement;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Synthèse = gravité;Financier;RH;Image;Juridique;Client;Criticité;Maturité
Risque de divulgation d'informations confidentielles;perte/tronquage des données client suite utilisation par les SAVR-U;;;;;;;;"Voir le projet Orange Care : les SAVR-U ne toucheront plus les terminaux du client; ils guideront les clients
Les données du client ne seront plus conservées à Orange mais juste transférées au besoin d'un terminal à un autre";préventif;manuelle;1;2;1;;2;1;2;2;
Risque de lancement tardif du projet;Durée des travaux de réaménagement  longs (2mois annoncés pour le génie civil par DAL);;;;;;;;;;;3;2;;;2;;2;6;
Risque de non respect des engagements commerciaux;indisponibilité de certains produits en franchise premium. Ex: les produits référencés;;;;;;;;Existence d'une clause sur la disponibilité des produits et des objectifs commerciaux;;;2;2;;;2;;2;4;
Risque de manque de performance économique des offres/projets;Lenteur dans le recrutement des FP;;;;;;;;Processus de sélection des partenaires en phase finale au niveau des DRV;préventif;manuelle;1;2;2;;1;;;2;
Risque de non fiabilité de la facturation;Accès non maîtrisé des franchises à nos SI Ex Nessico, simplissimo;Point à revoir avec DSC/DIS pour voir la cinématique d'enregistrement des opérations et les impacts dans Oracle;;;;;;;;préventif;manuelle;1;2;1;;3;2;3;2;
Risque de non maîtrise des projets;manque de professionnalisme & expérience des OB et franchise;;;;;;;;"engagement de Orange sur le cahier de charge à former les RH des franchises et  à les accompagner
""Subvention care ""fournie après évaluation aux franchies premium après évaluation semestrielle
Intégration dans le contrat d'une clause sur les exigences sur le professionnalisme à l'endroit  des franchises
consultation lancée pour avoir des partenaires 
exigences sur la capacité financière des franchises, le niveau de professionnalisme, etc";préventif;manuelle;2;2;2;1;3;;3;5;
Risque de non respect des dispositions juridiques et règlementaires;non respect de la réglementation portant sur les ERP;"Définir le type de gestion:
 -  est-ce qu'ils utilisent nos process?
 - est-ce qu'ils l'utilisent et npus leur dotons des moyens nécessaires
 - est-ce qu'ils utilisent leur process et nous contrôlons

Intégrer une clause QSE dans le contrat en tenant compte du type de gestion";Aminata Diouf;;;30-nov.-17;;Non échu;;;;2;2;1;2;3;;;4;
Risque de non-conformité QSE;non respect des normes ISO (prise en charge IPM, médecin, gestion des déchets, dispositif de sécurité incendie, conformité des GE, signalétique de sécurité, etc);"Définir le type de gestion:
 -  est-ce qu'ils utilisent nos process?
 - est-ce qu'ils l'utilisent et npus leur dotons des moyens nécessaires
 - est-ce qu'ils utilisent leur process et nous contrôlons

Intégrer une clause QSE dans le contrat en tenant compte du type de gestion";Aminata Diouf;;;30-nov.-17;;Non échu;;;;2;1;1;;1;;;2;
Risque de manque de performance économique des offres/projets;Non atteinte des objectifs de vente des franchises;Mettre en place une animation et des challenges pour soutenir les ventes des FP;Aminata Diouf;;;30-nov.-17;;Non échu;;préventif;manuelle;2;2;2;;1;;;3;
Risque de non maîtrise des stocks;Déficit dans le suivi du stock du partenenaire et celui de Sonatel en dépôt vente chez le partenaire;Fixer un objectif au responsable Sonatel chargé du suivi du stock du partenenaire et celui de Sonatel en dépôt vente chez le partenaire;Aminata Diouf;;;30/11/2017;;Non échu;"les franchises achètent leur stock de produits pour les revendre.
Ils sont objectivés sur le volume des ventes et perçoivent leurs marges sur les services vendus.
Ils seront distributeurs agréés OM";préventif;manuelle;2;2;1;;2;;2;3;
