Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Gravité;Financier;RH;Image;Juridique;Client;Criticité;maturité CI
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque d'atteinte à l'intégrité physique et/ou mentale;Occupation anarchique des locaux par les travailleurs (Dégradation du climat social);;;;;;;;Renforcement du contrôle d'accès sur certains sitesGestion des clés des salles techniques par les responsables de salle désignés (medina, thiaroye, technopole, etc) ou leurs responsable hiérarchiqueinstallation de système anti intrusion dans certains locaux sensibles avec couplage avec des alarmesrajout du nombre de clés sur certains plateaux;Préventif;Manuelle;2;2;1;;2;3;1;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque d'atteinte à l'intégrité physique et/ou mentale;Insécurité pays;;;;;;;;collaboration étroite avec les forces de l'ordre et les sociétés de sécuritémesures préventives et défensives mises en place pour renforcer la sécurité de la zone concernée en cas d'insécurité détectéechoix d'hôtels sécurisés;Préventif;Manuelle;2;2;1;;2;3;1;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque d'atteinte à l'intégrité physique et/ou mentale;Déplacement groupé des cadres dirigeants et ressources clés;;;;;;;;contrat avec les forces de l'ordre et les sociétés de sécurité pour des déplacements sécurisés sur le territoire sénégalaispiste d'amélioration:  alerter sur la nécessité d'éviter les déplacements groupés (cadres dirigeants, colonies de vacances, etc);Préventif;Manuelle;2;2;1;;2;3;1;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque d'atteinte à l'intégrité physique et/ou mentale;Instabilité/rebellion/mouvements de violence (ex: casamance, grève étudiants);;;;;;;;collaboration étroite avec les forces de l'ordre et les sociétés de sécuritémesures préventives et défensives mises en place pour renforcer la sécurité de la zone concernée en cas d'insécurité détectée;Préventif;Manuelle;2;2;1;;2;3;1;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque de sabotage ou de vandalisme;Accès non autorisés aux sites colocalisés et isolés par la concurrence;;;;;;;;mise en place de gardiensexistence d'une liste des personnes habilitésidentification et filtrage à l'entrée par les vigiles, le responsable de salle;Préventif;Manuelle;2;1;1;;1;1;1;2;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque de sabotage ou de vandalisme;Inexistence système de contrôle d'accès;;;;;;;;Contrôle d'accès par badges ou/et système de clés sur tous les sitesVeritas a un contrat cadre de vérification des EPIprésence de vigilesrenforcement du gardiennage dans certains sites isolésmise en place de gardiens adaptés à la zonesécurisation des équipements sur les sites bts isolés;Préventif;Manuelle;2;1;1;;1;1;1;2;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque de fraude;Intrusion;;;;;;;;contrôle d'accès par badge, présence de vigiles et  gendarmes au besoin, caméras de surveillance;Préventif;Manuelle;2;2;4;;1;2;;5;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque de fraude;Recours à des intervenants externes;;;;;;;;attribution de badges ou autorisations d'accès temporaires aux prestataires;Préventif;Manuelle;2;2;4;;1;2;;5;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque de fraude;Accessibilité aisée au réseau de câbles;;;;;;;;déplacement de patrouilles mobiles dans les zones impactées par les vandalismes et volscollaboration avec les forces de l'ordre (police, gendarmerie, etc)sensibilisation des populations environnantes;Préventif;Manuelle;2;2;4;;1;2;;5;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sûreté et le contrôle;Risque de fraude;Equipement à la portée de malfaiteurs (panneaux solaires, GE);;;;;;;;sécurisation des panneaux en béton armé;Préventif;Manuelle;2;2;4;;1;2;;5;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'accident du travail;Dysfonctionnement de la téléalimentation du contrôle d'accès des SR;;;;;;;;"""Insertion de Gandoul dans une boucle optiqueSupervision par le serveur de contrôle d'accès en temps réel de tous les accès """;Préventif;Manuelle;2;3;3;;3;4;2;6;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'accident du travail;Inutilisation des équipements de protection individuelle;;;;;;;;Surveillance des équipes sur le terrain par des prestataires sous contratProduction de reporting (rapport de surveillance) hebdomadaire transmis à MSQ qui pilote la qualité des prestations des équipes et conduit un scoring hebdoObjectif de taux de respect de 70% suivi en interne DG/SECU;Préventif;Manuelle;2;3;3;;3;4;2;6;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'accident du travail;Inexistence d'Equipement de Protection Individuelle;;;;;;;;Renouvellement annuel du stock d'EPI par DRH/SHT;Préventif;Manuelle;2;3;3;;3;4;2;6;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'accident du travail;Travaux en hauteur;;;;;;;;Renouvellement du titre tous les 3ans;Préventif;Manuelle;2;3;3;;3;4;2;6;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'accident du travail;Accidents et agressions dans la circulation;;;;;;;;Existence de placards sur tous les sites pour garder toutes les clés sous le contrôle du vigileTenue d'un séminaire de sensibilisation sur la sécurité (sécurité routière, es agressions physiques) avec la participation d'un ancien GIGN;Préventif;Manuelle;2;3;3;;3;4;2;6;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'incendie;Défaut de maîtrise des moyens d’extinction ;;;;;;;;caravanes annuelles de formation et sensibilisation sur la sécurité incendie: effectif de plus de 1000 personnes formées depuis 2013;Préventif;Manuelle;2;2;1;;1;4;;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'incendie;Moyens d'extinction inadaptés;;;;;;;;Plan schéma directeur disponible avec les moyens d'extinction adaptés à chaque type de salle/siteidentification sur la base des normes en vigueurmini Standard sur la sécurité disponible dans le livret de sécuritéaccompagnement par des professionnels de la sécurité pour la mise en place des dispositifs de sécurité;Préventif;Manuelle;2;2;1;;1;4;;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'incendie;Absence de moyens d'extinction;;;;;;;;Les sapeurs pompiers s'organisent pour être le plus proche des sitesRecutement de vigiles avec des aptitudes de sapeurs pompier et association des vigiles aux formations sécurité incendie;Préventif;Manuelle;2;2;1;;1;4;;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'incendie;Moyens d'extinction non fonctionnels;;;;;;;;Contrôle semestriel des moyens d'extinction par le prestatairecontrôle visuel par les exploitants ( correspondant sécurité)visites de vérification et d'inspection (DG/SECU, audit à blanc, parrainage, etc);Préventif;Manuelle;2;2;1;;1;4;;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'incendie;Non respect des normes d'installations électriques;;;;;;;;Mission de vérification des installations électriques par les bureaux de vérification sur un échantillon (les sites les plus sensibles)Equipement de tous les centres de niveau 2 et moins d'extincteurs d'incendie;Préventif;Manuelle;2;2;1;;1;4;;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Gérer la sécurité incendie et la sécurité au travail;Risque d'incendie;Stockage d'emballages perdus avec un potentiel calorifique élevé;;;;;;;;mise en place d'aire de stockage avec tri des déchets sur tous les sitescellule dédiée à la gestion des déchets par DAL;Préventif;Manuelle;2;2;1;;1;4;;4;2
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Piloter la performance sécurité;Risque d'accident du travail;Cahier de charges et habilitations-formations  tardifs / inadaptés / incomplets;;;;;;;;les formations sont réglementaires et déroulées sur la base de normes connuesexistence d'une base de documents pour les formations en guise d'historique;Préventif;Manuelle;1;3;3;;3;4;2;3;3
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Piloter la performance sécurité;Risque d'accident du travail;Documents QSE-Expertise sécurité -Normes hors normes (POI-Plans d'Opérations Internes, Etudes de danger, VRP, EPI, etc);;;;;;;;suivi de l'évolution de la norme par le fournisseur et par DG/SECU;Préventif;Manuelle;1;3;3;;3;4;2;3;3
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Piloter la performance sécurité;Risque de fraude;Choix des fournisseurs;;;;;;;;Choix des fournisseurs en rapport avec la DAL et validation de la hiérarchie soit de l'appel d'offres ou alors autorisation du DG;Préventif;Manuelle;1;1;1;;1;;;1;3
Garantir la Sécurité Physique;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;Assurer la Sûreté Générale et le ContrôleGérer la sécurité Incendie et la Sécurité au travailPiloter la performance de DG/SECU;SNT DG \ SECU;Piloter la performance sécurité;Risque de non fiabilité de l'information pour le pilotage;Indisponibilité des informations de production du tableau de bord;Etendre la procédure d'habilitation pour permettre au techniciens de monter les poteaux à l'instar des pylônes.;Abdoulaye Boiro;abdoulaye.boiro@orange-sonatel.com;;31/12/2017;;En cours;;;;1;1;1;;;1;;1;3
