Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Gravité;Financier;RH;Image;Juridique;Client;Criticité;maturité CI
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de fraude;Abus de droits par les supports qui ont des profils super utilisateurs;;;;;;;;" - Contrôle à posteriori : en cas de problèmes, les traces des différentes opérations non ""traçables"" peuvent être fournies par le fournisseur du progiciel - Audit des accès par AI - Vérification des tickets au delà d'un certain montant :  - Pour chaque flux de revenu, contrôle de vraisemblance en cas de variation significative - Fiabilisation périodique des accès par SSI - Super utilisateurs sont des Chefs de service Ingénierie";Détectif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de fraude;Abus de droits par les supports qui ont des profils super utilisateurs;;;;;;;;Prise en compte de la séparation des tâches lors de la création des profils sauf dans les Accueils éloignés où le RA peut vendre et encaisser;Préventif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Contrôler et corriger les cycles de facturation;Risque de fraude;Abus de droits par les supports qui ont des profils super utilisateurs;;;;;;;;" - Contrôle à posteriori : En cas de problèmes, les traces des différentes opérations non ""traçables"" peuvent être fournies par le fournisseur du progiciel - Audit des accès par AI - Vérification des tickets au delà d'un certain montant :  - Pour chaque flux de revenu, contrôle de vraisemblance en cas de variation significative - Fiabilisation périodique des accès par SSI - Super utilisateurs sont des Chefs de service Ingénierie";Détectif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Contrôler et corriger les cycles de facturation;Risque de fraude;Abus de droits par les supports qui ont des profils super utilisateurs;;;;;;;;Prise en compte de la séparation des tâches lors de la création des profils sauf dans les Accueils éloignés où le RA peut vendre et encaisser;Préventif;Manuelle;1;2;2;;2;2;2;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Animer les processus opérationnels;Risque de manque de fiabilité des données clients;Non fiabilité des données clients;;;;;;;; - Mise en place d'une procédure de contrôle d'identification des données clients - Modèles de contrats et formulaires annexés dans les procédures de nouvel abonnement ADSL (PCM 051) et de nouvel abonnement TVO (PCM 101) - Mise en place d'un Modop d'identification client dans Simplissimo diffusé au niveau de tout le réseau de distribution (y compris boutiques Orange);Préventif;Manuelle;3;3;3;;3;3;3;9;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Animer les processus opérationnels;Risque de manque de fiabilité des données clients;Non fiabilité des données clients;;;;;;;;Tableaux de bord hebdomadaires des anomalies pour le postpaid et le prepaid diffusés en début de semaine;Détectif;Manuelle;3;3;3;;3;3;3;9;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Animer les processus opérationnels;Risque de manque de fiabilité des données clients;Existence de doublons dans la base clientèle ;;;;;;;; - Pre check par la Fraude permet d'identifier les doublons (critères : num pièce, nom…) - Seuls CNI et Passeport acceptés pour les nationaux et en cas de présentation du passeport, c'est le numéro de la CNI qui figure sur le passeport qui est enregistré - Verrouillage automatique dans Simplissimo : impossibilité d'avoir plus de 3 abonnements par personne physique et impossibilité de faire n'importe quel type d'opération commerciale sur un compte qui comporte plus de 3 abonnements actifs;Détectif;Manuelle;1;3;3;;3;3;3;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Animer les processus opérationnels;Risque de manque de fiabilité des données clients;Existence de doublons dans la base clientèle ;;;;;;;;" - En cas de constat de doublon de client dans Gaia, un transfert du compte A du client est effectué dans le compte B du client ; le compte A a un statut spécial dans Gaia : ""client ayant eu tous ses dossiers transférés"" - Dans simplissimo, en cas de doublon, une cession massive est effectuée du compte A du client vers le  compte B du client";Préventif;Manuelle;1;3;3;;3;3;3;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Animer les processus opérationnels;Risque de manque de fiabilité des données clients;Cautions non migrées ou mal migrées dans Gaia;;;;;;;; - Reconstitution des cautions après migration dans Gaia en collaboration avec DFC- Existence d'une procédure de remboursement de caution non migrée ou mal migrée dans Gaia  (PCM377) ;Préventif;Manuelle;1;3;3;;3;3;3;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Assurer le support fonctionnel et Opérationnel duSI;Assurer le support fonctionnel et Opérationnel duSI;SNT DSC \ DIS;Traiter les demandes de prestation SI;Risque de mauvaise prise en charge des demandes clients internes;Mauvaise compréhension du besoin exprimé;;;;;;;; - Validation des travaux par le Chef de Service - Validation des réponses aux demandes de dégrèvement en masse par le Chef de Département DIS - Reporting interne et pilotage des demandes utilisateurs (CDS) - Service CDS vérifie et  livre au demandeur;Détectif;Manuelle;1;2;1;1;2;2;2;2;3
